TimeInHours, Arm1 , Arm2 , Arm3 , Arm4 , Arm5 , Arm6 , Center
0.000277778,1,0,0,2,3,3,1
0.000555556,1,0,0,2,3,3,1
0.000833333,1,0,0,2,3,3,1
0.001111111,1,0,0,2,3,3,1
0.001388889,1,0,0,2,3,3,1
0.001666667,1,0,0,2,3,3,1
0.001944444,1,0,0,2,3,3,1
0.002222222,1,0,0,2,3,3,1
0.0025,1,0,0,2,3,3,1
0.002777778,1,0,0,2,3,3,1
0.003055556,1,0,0,2,3,3,1
0.003333333,1,0,0,2,3,3,1
0.003611111,1,0,0,2,3,3,1
0.003888889,1,0,0,2,3,3,1
0.004166667,1,0,0,2,3,3,1
0.004444444,1,0,0,2,3,3,1
0.004722222,1,0,0,2,3,3,1
0.005,1,0,0,2,3,3,1
0.005277778,1,0,0,2,3,3,1
0.005555556,1,0,0,2,3,3,1
0.005833333,1,0,0,2,3,3,1
0.006111111,1,0,0,2,3,3,1
0.006388889,1,0,0,2,3,3,1
0.006666667,1,0,0,2,3,3,1
0.006944444,1,0,0,2,3,3,1
0.007222222,1,0,0,2,3,3,1
0.0075,1,0,0,2,3,3,1
0.007777778,1,0,0,2,3,3,1
0.008055556,1,0,0,2,3,3,1
0.008333333,1,0,0,2,3,3,1
0.008611111,1,0,0,2,3,3,1
0.008888889,1,0,0,2,3,3,1
0.009166667,1,0,0,2,3,3,1
0.009444444,1,0,0,2,3,3,1
0.009722222,1,0,0,2,3,3,1
0.01,1,0,0,2,3,3,1
0.010277778,1,0,0,2,3,3,1
0.010555556,1,0,0,2,3,3,1
0.010833333,1,0,0,2,3,3,1
0.011111111,1,0,0,2,3,3,1
0.011388889,1,0,0,2,3,3,1
0.011666667,1,0,0,2,3,3,1
0.011944444,1,0,0,2,3,3,1
0.012222222,1,0,0,2,3,3,1
0.0125,1,0,0,2,3,3,1
0.012777778,1,0,0,2,3,3,1
0.013055556,1,0,0,2,3,3,1
0.013333333,1,0,0,2,3,3,1
0.013611111,1,0,0,2,3,3,1
0.013888889,1,0,0,2,3,3,1
0.014166667,1,0,0,2,3,3,1
0.014444444,1,0,0,2,3,3,1
0.014722222,1,0,0,2,3,3,1
0.015,1,0,0,2,3,3,1
0.015277778,1,0,0,2,3,3,1
0.015555556,1,0,0,2,3,3,1
0.015833333,1,0,0,2,3,3,1
0.016111111,1,0,0,2,3,3,1
0.016388889,1,0,0,2,3,3,1
0.016666667,1,0,0,2,3,3,1
0.016944444,1,0,0,2,3,3,1
0.017222222,1,0,0,2,3,3,1
0.0175,1,0,0,2,3,3,1
0.017777778,1,0,0,2,3,3,1
0.018055556,1,0,0,2,3,3,1
0.018333333,1,0,0,2,3,3,1
0.018611111,1,0,0,2,3,3,1
0.018888889,1,0,0,2,3,3,1
0.019166667,1,0,0,2,3,3,1
0.019444444,1,0,0,2,3,3,1
0.019722222,1,0,0,2,3,3,1
0.02,1,0,0,2,3,3,1
0.020277778,1,0,0,2,3,3,1
0.020555556,1,0,0,2,3,3,1
0.020833333,1,0,0,2,3,3,1
0.021111111,1,0,0,2,3,3,1
0.021388889,1,0,0,2,3,3,1
0.021666667,1,0,0,2,3,3,1
0.021944444,1,0,0,2,3,3,1
0.022222222,1,0,0,2,3,3,1
0.0225,1,0,0,2,3,3,1
0.022777778,1,0,0,2,3,3,1
0.023055556,1,0,0,2,3,3,1
0.023333333,1,0,0,2,3,3,1
0.023611111,1,0,0,2,3,3,1
0.023888889,1,0,0,2,3,3,1
0.024166667,1,0,0,2,3,3,1
0.024444444,1,0,0,2,3,3,1
0.024722222,1,0,0,2,3,3,1
0.025,1,0,0,2,3,3,1
0.025277778,1,0,0,2,3,3,1
0.025555556,1,0,0,2,3,3,1
0.025833333,1,0,0,2,3,3,1
0.026111111,1,0,0,2,3,3,1
0.026388889,1,0,0,2,3,3,1
0.026666667,1,0,0,2,3,3,1
0.026944444,1,0,0,2,3,3,1
0.027222222,1,0,0,2,3,3,1
0.0275,1,0,0,2,3,3,1
0.027777778,1,0,0,2,3,3,1
0.028055556,1,0,0,2,3,3,1
0.028333333,1,0,0,2,3,3,1
